total_amount,shipping_address
30000000,"1 Nguyen Van Cu, District 5, HCMC"
28000000,"2 Nguyen Van Cu, District 5, HCMC"
45000000,"3 Nguyen Van Cu, District 5, HCMC"
6000000,"4 Nguyen Van Cu, District 5, HCMC"
4000000,"5 Nguyen Van Cu, District 5, HCMC"
30000000,"6 Nguyen Van Cu, District 5, HCMC"
28000000,"7 Nguyen Van Cu, District 5, HCMC"
45000000,"8 Nguyen Van Cu, District 5, HCMC"
6000000,"9 Nguyen Van Cu, District 5, HCMC"
4000000,"10 Nguyen Van Cu, District 5, HCMC"
30000000,"11 Nguyen Van Cu, District 5, HCMC"
28000000,"12 Nguyen Van Cu, District 5, HCMC"
45000000,"13 Nguyen Van Cu, District 5, HCMC"
6000000,"14 Nguyen Van Cu, District 5, HCMC"
4000000,"15 Nguyen Van Cu, District 5, HCMC"
30000000,"16 Nguyen Van Cu, District 5, HCMC"
28000000,"17 Nguyen Van Cu, District 5, HCMC"
45000000,"18 Nguyen Van Cu, District 5, HCMC"
6000000,"19 Nguyen Van Cu, District 5, HCMC"
4000000,"20 Nguyen Van Cu, District 5, HCMC"
30000000,"21 Nguyen Van Cu, District 5, HCMC"
28000000,"22 Nguyen Van Cu, District 5, HCMC"
45000000,"23 Nguyen Van Cu, District 5, HCMC"
6000000,"24 Nguyen Van Cu, District 5, HCMC"
4000000,"25 Nguyen Van Cu, District 5, HCMC"
30000000,"26 Nguyen Van Cu, District 5, HCMC"
28000000,"27 Nguyen Van Cu, District 5, HCMC"
45000000,"28 Nguyen Van Cu, District 5, HCMC"
6000000,"29 Nguyen Van Cu, District 5, HCMC"
4000000,"30 Nguyen Van Cu, District 5, HCMC"
30000000,"31 Nguyen Van Cu, District 5, HCMC"
28000000,"32 Nguyen Van Cu, District 5, HCMC"
45000000,"33 Nguyen Van Cu, District 5, HCMC"
6000000,"34 Nguyen Van Cu, District 5, HCMC"
4000000,"35 Nguyen Van Cu, District 5, HCMC"
30000000,"36 Nguyen Van Cu, District 5, HCMC"
28000000,"37 Nguyen Van Cu, District 5, HCMC"
45000000,"38 Nguyen Van Cu, District 5, HCMC"
6000000,"39 Nguyen Van Cu, District 5, HCMC"
4000000,"40 Nguyen Van Cu, District 5, HCMC"
30000000,"41 Nguyen Van Cu, District 5, HCMC"
28000000,"42 Nguyen Van Cu, District 5, HCMC"
45000000,"43 Nguyen Van Cu, District 5, HCMC"
6000000,"44 Nguyen Van Cu, District 5, HCMC"
4000000,"45 Nguyen Van Cu, District 5, HCMC"
30000000,"46 Nguyen Van Cu, District 5, HCMC"
28000000,"47 Nguyen Van Cu, District 5, HCMC"
45000000,"48 Nguyen Van Cu, District 5, HCMC"
6000000,"49 Nguyen Van Cu, District 5, HCMC"
4000000,"50 Nguyen Van Cu, District 5, HCMC"
30000000,"51 Nguyen Van Cu, District 5, HCMC"
28000000,"52 Nguyen Van Cu, District 5, HCMC"
45000000,"53 Nguyen Van Cu, District 5, HCMC"
6000000,"54 Nguyen Van Cu, District 5, HCMC"
4000000,"55 Nguyen Van Cu, District 5, HCMC"
30000000,"56 Nguyen Van Cu, District 5, HCMC"
28000000,"57 Nguyen Van Cu, District 5, HCMC"
45000000,"58 Nguyen Van Cu, District 5, HCMC"
6000000,"59 Nguyen Van Cu, District 5, HCMC"
4000000,"60 Nguyen Van Cu, District 5, HCMC"
30000000,"61 Nguyen Van Cu, District 5, HCMC"
28000000,"62 Nguyen Van Cu, District 5, HCMC"
45000000,"63 Nguyen Van Cu, District 5, HCMC"
6000000,"64 Nguyen Van Cu, District 5, HCMC"
4000000,"65 Nguyen Van Cu, District 5, HCMC"
30000000,"66 Nguyen Van Cu, District 5, HCMC"
28000000,"67 Nguyen Van Cu, District 5, HCMC"
45000000,"68 Nguyen Van Cu, District 5, HCMC"
6000000,"69 Nguyen Van Cu, District 5, HCMC"
4000000,"70 Nguyen Van Cu, District 5, HCMC"
30000000,"71 Nguyen Van Cu, District 5, HCMC"
28000000,"72 Nguyen Van Cu, District 5, HCMC"
45000000,"73 Nguyen Van Cu, District 5, HCMC"
6000000,"74 Nguyen Van Cu, District 5, HCMC"
4000000,"75 Nguyen Van Cu, District 5, HCMC"
30000000,"76 Nguyen Van Cu, District 5, HCMC"
28000000,"77 Nguyen Van Cu, District 5, HCMC"
45000000,"78 Nguyen Van Cu, District 5, HCMC"
6000000,"79 Nguyen Van Cu, District 5, HCMC"
4000000,"80 Nguyen Van Cu, District 5, HCMC"
30000000,"81 Nguyen Van Cu, District 5, HCMC"
28000000,"82 Nguyen Van Cu, District 5, HCMC"
45000000,"83 Nguyen Van Cu, District 5, HCMC"
6000000,"84 Nguyen Van Cu, District 5, HCMC"
4000000,"85 Nguyen Van Cu, District 5, HCMC"
30000000,"86 Nguyen Van Cu, District 5, HCMC"
28000000,"87 Nguyen Van Cu, District 5, HCMC"
45000000,"88 Nguyen Van Cu, District 5, HCMC"
6000000,"89 Nguyen Van Cu, District 5, HCMC"
4000000,"90 Nguyen Van Cu, District 5, HCMC"
30000000,"91 Nguyen Van Cu, District 5, HCMC"
28000000,"92 Nguyen Van Cu, District 5, HCMC"
45000000,"93 Nguyen Van Cu, District 5, HCMC"
6000000,"94 Nguyen Van Cu, District 5, HCMC"
4000000,"95 Nguyen Van Cu, District 5, HCMC"
30000000,"96 Nguyen Van Cu, District 5, HCMC"
28000000,"97 Nguyen Van Cu, District 5, HCMC"
45000000,"98 Nguyen Van Cu, District 5, HCMC"
6000000,"99 Nguyen Van Cu, District 5, HCMC"
4000000,"100 Nguyen Van Cu, District 5, HCMC"
30000000,"101 Nguyen Van Cu, District 5, HCMC"
28000000,"102 Nguyen Van Cu, District 5, HCMC"
45000000,"103 Nguyen Van Cu, District 5, HCMC"
6000000,"104 Nguyen Van Cu, District 5, HCMC"
4000000,"105 Nguyen Van Cu, District 5, HCMC"
30000000,"106 Nguyen Van Cu, District 5, HCMC"
28000000,"107 Nguyen Van Cu, District 5, HCMC"
45000000,"108 Nguyen Van Cu, District 5, HCMC"
6000000,"109 Nguyen Van Cu, District 5, HCMC"
4000000,"110 Nguyen Van Cu, District 5, HCMC"
30000000,"111 Nguyen Van Cu, District 5, HCMC"
28000000,"112 Nguyen Van Cu, District 5, HCMC"
45000000,"113 Nguyen Van Cu, District 5, HCMC"
6000000,"114 Nguyen Van Cu, District 5, HCMC"
4000000,"115 Nguyen Van Cu, District 5, HCMC"
30000000,"116 Nguyen Van Cu, District 5, HCMC"
28000000,"117 Nguyen Van Cu, District 5, HCMC"
45000000,"118 Nguyen Van Cu, District 5, HCMC"
6000000,"119 Nguyen Van Cu, District 5, HCMC"
4000000,"120 Nguyen Van Cu, District 5, HCMC"
30000000,"121 Nguyen Van Cu, District 5, HCMC"
28000000,"122 Nguyen Van Cu, District 5, HCMC"
45000000,"123 Nguyen Van Cu, District 5, HCMC"
6000000,"124 Nguyen Van Cu, District 5, HCMC"
4000000,"125 Nguyen Van Cu, District 5, HCMC"
30000000,"126 Nguyen Van Cu, District 5, HCMC"
28000000,"127 Nguyen Van Cu, District 5, HCMC"
45000000,"128 Nguyen Van Cu, District 5, HCMC"
6000000,"129 Nguyen Van Cu, District 5, HCMC"
4000000,"130 Nguyen Van Cu, District 5, HCMC"
30000000,"131 Nguyen Van Cu, District 5, HCMC"
28000000,"132 Nguyen Van Cu, District 5, HCMC"
45000000,"133 Nguyen Van Cu, District 5, HCMC"
6000000,"134 Nguyen Van Cu, District 5, HCMC"
4000000,"135 Nguyen Van Cu, District 5, HCMC"
30000000,"136 Nguyen Van Cu, District 5, HCMC"
28000000,"137 Nguyen Van Cu, District 5, HCMC"
45000000,"138 Nguyen Van Cu, District 5, HCMC"
6000000,"139 Nguyen Van Cu, District 5, HCMC"
4000000,"140 Nguyen Van Cu, District 5, HCMC"
30000000,"141 Nguyen Van Cu, District 5, HCMC"
28000000,"142 Nguyen Van Cu, District 5, HCMC"
45000000,"143 Nguyen Van Cu, District 5, HCMC"
6000000,"144 Nguyen Van Cu, District 5, HCMC"
4000000,"145 Nguyen Van Cu, District 5, HCMC"
30000000,"146 Nguyen Van Cu, District 5, HCMC"
28000000,"147 Nguyen Van Cu, District 5, HCMC"
45000000,"148 Nguyen Van Cu, District 5, HCMC"
6000000,"149 Nguyen Van Cu, District 5, HCMC"
4000000,"150 Nguyen Van Cu, District 5, HCMC"
30000000,"151 Nguyen Van Cu, District 5, HCMC"
28000000,"152 Nguyen Van Cu, District 5, HCMC"
45000000,"153 Nguyen Van Cu, District 5, HCMC"
6000000,"154 Nguyen Van Cu, District 5, HCMC"
4000000,"155 Nguyen Van Cu, District 5, HCMC"
30000000,"156 Nguyen Van Cu, District 5, HCMC"
28000000,"157 Nguyen Van Cu, District 5, HCMC"
45000000,"158 Nguyen Van Cu, District 5, HCMC"
6000000,"159 Nguyen Van Cu, District 5, HCMC"
4000000,"160 Nguyen Van Cu, District 5, HCMC"
30000000,"161 Nguyen Van Cu, District 5, HCMC"
28000000,"162 Nguyen Van Cu, District 5, HCMC"
45000000,"163 Nguyen Van Cu, District 5, HCMC"
6000000,"164 Nguyen Van Cu, District 5, HCMC"
4000000,"165 Nguyen Van Cu, District 5, HCMC"
30000000,"166 Nguyen Van Cu, District 5, HCMC"
28000000,"167 Nguyen Van Cu, District 5, HCMC"
45000000,"168 Nguyen Van Cu, District 5, HCMC"
6000000,"169 Nguyen Van Cu, District 5, HCMC"
4000000,"170 Nguyen Van Cu, District 5, HCMC"
30000000,"171 Nguyen Van Cu, District 5, HCMC"
28000000,"172 Nguyen Van Cu, District 5, HCMC"
45000000,"173 Nguyen Van Cu, District 5, HCMC"
6000000,"174 Nguyen Van Cu, District 5, HCMC"
4000000,"175 Nguyen Van Cu, District 5, HCMC"
30000000,"176 Nguyen Van Cu, District 5, HCMC"
28000000,"177 Nguyen Van Cu, District 5, HCMC"
45000000,"178 Nguyen Van Cu, District 5, HCMC"
6000000,"179 Nguyen Van Cu, District 5, HCMC"
4000000,"180 Nguyen Van Cu, District 5, HCMC"
30000000,"181 Nguyen Van Cu, District 5, HCMC"
28000000,"182 Nguyen Van Cu, District 5, HCMC"
45000000,"183 Nguyen Van Cu, District 5, HCMC"
6000000,"184 Nguyen Van Cu, District 5, HCMC"
4000000,"185 Nguyen Van Cu, District 5, HCMC"
30000000,"186 Nguyen Van Cu, District 5, HCMC"
28000000,"187 Nguyen Van Cu, District 5, HCMC"
45000000,"188 Nguyen Van Cu, District 5, HCMC"
6000000,"189 Nguyen Van Cu, District 5, HCMC"
4000000,"190 Nguyen Van Cu, District 5, HCMC"
30000000,"191 Nguyen Van Cu, District 5, HCMC"
28000000,"192 Nguyen Van Cu, District 5, HCMC"
45000000,"193 Nguyen Van Cu, District 5, HCMC"
6000000,"194 Nguyen Van Cu, District 5, HCMC"
4000000,"195 Nguyen Van Cu, District 5, HCMC"
30000000,"196 Nguyen Van Cu, District 5, HCMC"
28000000,"197 Nguyen Van Cu, District 5, HCMC"
45000000,"198 Nguyen Van Cu, District 5, HCMC"
6000000,"199 Nguyen Van Cu, District 5, HCMC"
4000000,"200 Nguyen Van Cu, District 5, HCMC"
30000000,"201 Nguyen Van Cu, District 5, HCMC"
28000000,"202 Nguyen Van Cu, District 5, HCMC"
45000000,"203 Nguyen Van Cu, District 5, HCMC"
6000000,"204 Nguyen Van Cu, District 5, HCMC"
4000000,"205 Nguyen Van Cu, District 5, HCMC"
30000000,"206 Nguyen Van Cu, District 5, HCMC"
28000000,"207 Nguyen Van Cu, District 5, HCMC"
45000000,"208 Nguyen Van Cu, District 5, HCMC"
6000000,"209 Nguyen Van Cu, District 5, HCMC"
4000000,"210 Nguyen Van Cu, District 5, HCMC"
30000000,"211 Nguyen Van Cu, District 5, HCMC"
28000000,"212 Nguyen Van Cu, District 5, HCMC"
45000000,"213 Nguyen Van Cu, District 5, HCMC"
6000000,"214 Nguyen Van Cu, District 5, HCMC"
4000000,"215 Nguyen Van Cu, District 5, HCMC"
30000000,"216 Nguyen Van Cu, District 5, HCMC"
28000000,"217 Nguyen Van Cu, District 5, HCMC"
45000000,"218 Nguyen Van Cu, District 5, HCMC"
6000000,"219 Nguyen Van Cu, District 5, HCMC"
4000000,"220 Nguyen Van Cu, District 5, HCMC"
30000000,"221 Nguyen Van Cu, District 5, HCMC"
28000000,"222 Nguyen Van Cu, District 5, HCMC"
45000000,"223 Nguyen Van Cu, District 5, HCMC"
6000000,"224 Nguyen Van Cu, District 5, HCMC"
4000000,"225 Nguyen Van Cu, District 5, HCMC"
30000000,"226 Nguyen Van Cu, District 5, HCMC"
28000000,"227 Nguyen Van Cu, District 5, HCMC"
45000000,"228 Nguyen Van Cu, District 5, HCMC"
6000000,"229 Nguyen Van Cu, District 5, HCMC"
4000000,"230 Nguyen Van Cu, District 5, HCMC"
30000000,"231 Nguyen Van Cu, District 5, HCMC"
28000000,"232 Nguyen Van Cu, District 5, HCMC"
45000000,"233 Nguyen Van Cu, District 5, HCMC"
6000000,"234 Nguyen Van Cu, District 5, HCMC"
4000000,"235 Nguyen Van Cu, District 5, HCMC"
30000000,"236 Nguyen Van Cu, District 5, HCMC"
28000000,"237 Nguyen Van Cu, District 5, HCMC"
45000000,"238 Nguyen Van Cu, District 5, HCMC"
6000000,"239 Nguyen Van Cu, District 5, HCMC"
4000000,"240 Nguyen Van Cu, District 5, HCMC"
