keyword,product_id,product_price
iPhone,1,30000000
Samsung,2,28000000
MacBook,3,45000000
Tai,4,6000000
Bàn,5,4000000
iPhone,1,30000000
Samsung,2,28000000
MacBook,3,45000000
Tai,4,6000000
Bàn,5,4000000
iPhone,1,30000000
Samsung,2,28000000
MacBook,3,45000000
Tai,4,6000000
Bàn,5,4000000
iPhone,1,30000000
Samsung,2,28000000
MacBook,3,45000000
Tai,4,6000000
Bàn,5,4000000
iPhone,1,30000000
Samsung,2,28000000
MacBook,3,45000000
Tai,4,6000000
Bàn,5,4000000
iPhone,1,30000000
Samsung,2,28000000
MacBook,3,45000000
Tai,4,6000000
Bàn,5,4000000
iPhone,1,30000000
Samsung,2,28000000
MacBook,3,45000000
Tai,4,6000000
Bàn,5,4000000
iPhone,1,30000000
Samsung,2,28000000
MacBook,3,45000000
Tai,4,6000000
Bàn,5,4000000
iPhone,1,30000000
Samsung,2,28000000
MacBook,3,45000000
Tai,4,6000000
Bàn,5,4000000
iPhone,1,30000000
Samsung,2,28000000
MacBook,3,45000000
Tai,4,6000000
Bàn,5,4000000
iPhone,1,30000000
Samsung,2,28000000
MacBook,3,45000000
Tai,4,6000000
Bàn,5,4000000
iPhone,1,30000000
Samsung,2,28000000
MacBook,3,45000000
Tai,4,6000000
Bàn,5,4000000
iPhone,1,30000000
Samsung,2,28000000
MacBook,3,45000000
Tai,4,6000000
Bàn,5,4000000
iPhone,1,30000000
Samsung,2,28000000
MacBook,3,45000000
Tai,4,6000000
Bàn,5,4000000
iPhone,1,30000000
Samsung,2,28000000
MacBook,3,45000000
Tai,4,6000000
Bàn,5,4000000
iPhone,1,30000000
Samsung,2,28000000
MacBook,3,45000000
Tai,4,6000000
Bàn,5,4000000
iPhone,1,30000000
Samsung,2,28000000
MacBook,3,45000000
Tai,4,6000000
Bàn,5,4000000
iPhone,1,30000000
Samsung,2,28000000
MacBook,3,45000000
Tai,4,6000000
Bàn,5,4000000
iPhone,1,30000000
Samsung,2,28000000
MacBook,3,45000000
Tai,4,6000000
Bàn,5,4000000
iPhone,1,30000000
Samsung,2,28000000
MacBook,3,45000000
Tai,4,6000000
Bàn,5,4000000
iPhone,1,30000000
Samsung,2,28000000
MacBook,3,45000000
Tai,4,6000000
Bàn,5,4000000
iPhone,1,30000000
Samsung,2,28000000
MacBook,3,45000000
Tai,4,6000000
Bàn,5,4000000
iPhone,1,30000000
Samsung,2,28000000
MacBook,3,45000000
Tai,4,6000000
Bàn,5,4000000
iPhone,1,30000000
Samsung,2,28000000
MacBook,3,45000000
Tai,4,6000000
Bàn,5,4000000
iPhone,1,30000000
Samsung,2,28000000
MacBook,3,45000000
Tai,4,6000000
Bàn,5,4000000
iPhone,1,30000000
Samsung,2,28000000
MacBook,3,45000000
Tai,4,6000000
Bàn,5,4000000
iPhone,1,30000000
Samsung,2,28000000
MacBook,3,45000000
Tai,4,6000000
Bàn,5,4000000
iPhone,1,30000000
Samsung,2,28000000
MacBook,3,45000000
Tai,4,6000000
Bàn,5,4000000
iPhone,1,30000000
Samsung,2,28000000
MacBook,3,45000000
Tai,4,6000000
Bàn,5,4000000
iPhone,1,30000000
Samsung,2,28000000
MacBook,3,45000000
Tai,4,6000000
Bàn,5,4000000
iPhone,1,30000000
Samsung,2,28000000
MacBook,3,45000000
Tai,4,6000000
Bàn,5,4000000
iPhone,1,30000000
Samsung,2,28000000
MacBook,3,45000000
Tai,4,6000000
Bàn,5,4000000
iPhone,1,30000000
Samsung,2,28000000
MacBook,3,45000000
Tai,4,6000000
Bàn,5,4000000
iPhone,1,30000000
Samsung,2,28000000
MacBook,3,45000000
Tai,4,6000000
Bàn,5,4000000
iPhone,1,30000000
Samsung,2,28000000
MacBook,3,45000000
Tai,4,6000000
Bàn,5,4000000
iPhone,1,30000000
Samsung,2,28000000
MacBook,3,45000000
Tai,4,6000000
Bàn,5,4000000
iPhone,1,30000000
Samsung,2,28000000
MacBook,3,45000000
Tai,4,6000000
Bàn,5,4000000
iPhone,1,30000000
Samsung,2,28000000
MacBook,3,45000000
Tai,4,6000000
Bàn,5,4000000
iPhone,1,30000000
Samsung,2,28000000
MacBook,3,45000000
Tai,4,6000000
Bàn,5,4000000
iPhone,1,30000000
Samsung,2,28000000
MacBook,3,45000000
Tai,4,6000000
Bàn,5,4000000
iPhone,1,30000000
Samsung,2,28000000
MacBook,3,45000000
Tai,4,6000000
Bàn,5,4000000
iPhone,1,30000000
Samsung,2,28000000
MacBook,3,45000000
Tai,4,6000000
Bàn,5,4000000
iPhone,1,30000000
Samsung,2,28000000
MacBook,3,45000000
Tai,4,6000000
Bàn,5,4000000
iPhone,1,30000000
Samsung,2,28000000
MacBook,3,45000000
Tai,4,6000000
Bàn,5,4000000
iPhone,1,30000000
Samsung,2,28000000
MacBook,3,45000000
Tai,4,6000000
Bàn,5,4000000
iPhone,1,30000000
Samsung,2,28000000
MacBook,3,45000000
Tai,4,6000000
Bàn,5,4000000
iPhone,1,30000000
Samsung,2,28000000
MacBook,3,45000000
Tai,4,6000000
Bàn,5,4000000
iPhone,1,30000000
Samsung,2,28000000
MacBook,3,45000000
Tai,4,6000000
Bàn,5,4000000
