timestamp,elapsed_s,cpu_percent,working_set_mb,private_mb,threads,handles
2026-08-17T21:54:37,2,0,52.6,62.2,15,211
2026-08-17T21:54:39,4.1,0.28,52.7,62.5,15,213
2026-08-17T21:54:41,6.1,0.1,52.9,62.7,15,213
2026-08-17T21:54:43,8.1,0.1,52.9,62.7,15,213
2026-08-17T21:54:45,10.1,0.1,53,62.7,15,213
2026-08-17T21:54:47,12.1,0.19,53,62.7,15,213
2026-08-17T21:54:49,14.2,0.19,53.1,62.7,15,213
2026-08-17T21:54:51,16.2,0.1,53.1,62.7,15,213
2026-08-17T21:54:53,18.2,0.19,53.1,62.7,15,213
2026-08-17T21:54:55,20.2,0.1,53,62.9,15,213
2026-08-17T21:54:57,22.2,0.19,53.1,63.2,15,213
2026-08-17T21:54:59,24.2,0,53.1,63.2,15,213
2026-08-17T21:55:02,26.3,0.29,53.2,63.2,15,213
2026-08-17T21:55:04,28.3,0.39,53.2,63.2,15,213
2026-08-17T21:55:06,30.3,0.19,53.3,63.5,15,213
2026-08-17T21:55:08,32.3,0.1,53.4,63.5,15,211
2026-08-17T21:55:10,34.3,0,53.4,63.5,15,211
2026-08-17T21:55:12,36.3,0,53.4,63.5,15,211
