timestamp,elapsed_s,cpu_percent,working_set_mb,private_mb,threads,handles
2026-08-17T22:24:19,2,0,52.2,61.9,13,211
2026-08-17T22:24:21,4.1,0,52.2,62.1,13,212
2026-08-17T22:24:23,6.1,0.1,52.3,62.1,13,213
2026-08-17T22:24:25,8.1,0,52.3,62.1,13,214
2026-08-17T22:24:27,10.1,0.49,52.5,62.1,13,215
2026-08-17T22:24:29,12.1,0.39,52.5,62.1,13,216
2026-08-17T22:24:31,14.1,0.19,52.6,62.7,13,217
2026-08-17T22:24:33,16.1,0.39,52.9,62.7,13,218
2026-08-17T22:24:35,18.1,0.68,53.3,63,13,219
2026-08-17T22:24:37,20.2,0.49,53.4,63.2,13,220
2026-08-17T22:24:39,22.2,0.88,53.7,63.2,13,221
2026-08-17T22:24:41,24.2,0.49,54,63.5,13,222
2026-08-17T22:24:43,26.2,1.27,54.9,66.3,13,223
2026-08-17T22:24:45,28.2,1.07,56.3,67.2,13,224
2026-08-17T22:24:47,30.2,1.06,56.7,68.1,13,225
2026-08-17T22:24:49,32.2,0.88,57.6,70,13,226
2026-08-17T22:24:51,34.2,0.87,58.2,72.9,13,228
2026-08-17T22:24:53,36.2,1.07,59.2,73.5,13,228
2026-08-17T22:24:55,38.3,0.97,60.5,72.2,13,229
2026-08-17T22:24:57,40.3,1.07,61.7,73,13,230
2026-08-17T22:24:59,42.3,0.97,61.7,73,13,231
2026-08-17T22:25:01,44.3,1.07,62.2,73.5,13,233
2026-08-17T22:25:03,46.3,1.75,62.2,73.5,13,233
2026-08-17T22:25:05,48.3,0.97,62.4,81.8,13,235
2026-08-17T22:25:07,50.3,0.97,64.9,81.2,13,235
2026-08-17T22:25:09,52.3,0.87,66.2,81.6,13,237
2026-08-17T22:25:11,54.3,2.14,69.9,82.8,13,238
2026-08-17T22:25:13,56.3,1.75,69.7,83.7,13,238
2026-08-17T22:25:15,58.4,2.63,70,82.6,13,240
2026-08-17T22:25:17,60.4,2.33,70,82.8,13,241
2026-08-17T22:25:19,62.4,2.04,70.4,83.5,13,242
2026-08-17T22:25:21,64.4,1.94,70.3,83.1,13,242
2026-08-17T22:25:23,66.4,3.4,70.5,83.5,13,244
2026-08-17T22:25:25,68.4,2.33,70.8,99.6,13,245
2026-08-17T22:25:27,70.4,2.43,71.5,99.2,13,245
2026-08-17T22:25:29,72.4,1.65,76.5,99.9,13,245
2026-08-17T22:25:31,74.4,1.84,77.4,99.7,13,245
2026-08-17T22:25:34,76.4,2.14,81.2,99.9,13,245
2026-08-17T22:25:36,78.5,2.52,84.2,100,13,245
2026-08-17T22:25:38,80.5,2.14,84.2,100,13,246
2026-08-17T22:25:40,82.5,2.33,83.6,99.6,13,245
2026-08-17T22:25:42,84.5,2.43,84.2,100,13,245
2026-08-17T22:25:44,86.5,1.76,84.2,100,13,245
2026-08-17T22:25:46,88.5,2.24,85.7,102.4,13,245
2026-08-17T22:25:48,90.5,1.84,85.8,103.4,13,245
2026-08-17T22:25:50,92.5,2.52,87.5,104.8,13,245
2026-08-17T22:25:52,94.5,2.33,87.3,103.9,13,245
2026-08-17T22:25:54,96.5,2.43,87.5,104.4,12,245
2026-08-17T22:25:56,98.5,2.52,89.9,139.3,12,245
2026-08-17T22:25:58,100.5,2.53,89.9,139.7,12,245
2026-08-17T22:26:00,102.6,2.42,90.3,140.3,12,245
2026-08-17T22:26:02,104.6,2.32,94.7,140.3,12,245
2026-08-17T22:26:04,106.6,2.42,99.4,139.3,12,245
2026-08-17T22:26:06,108.6,2.81,103.3,140.3,12,245
2026-08-17T22:26:08,110.6,2.04,103.2,140.2,12,245
2026-08-17T22:26:10,112.7,2.32,104.3,140.2,12,245
2026-08-17T22:26:12,114.7,2.24,108.8,140.2,12,245
2026-08-17T22:26:14,116.7,2.03,113.2,140.3,12,245
2026-08-17T22:26:16,118.7,3.31,115.4,139.2,12,245
2026-08-17T22:26:18,120.7,1.46,115.6,139.4,12,245
2026-08-17T22:26:20,122.7,2.14,116,140.4,12,245
2026-08-17T22:26:22,124.7,3,116,140.4,12,245
2026-08-17T22:26:24,126.7,2.33,116.1,140.4,12,245
2026-08-17T22:26:26,128.7,2.43,116.1,140,12,245
2026-08-17T22:26:28,130.7,2.33,116.1,140,12,245
2026-08-17T22:26:30,132.8,1.26,116.5,140.6,12,245
2026-08-17T22:26:32,134.8,2.61,116.4,140.5,12,245
2026-08-17T22:26:34,136.8,2.72,116.5,140.8,12,245
2026-08-17T22:26:36,138.8,2.62,117.3,141.6,12,245
2026-08-17T22:26:38,140.8,2.81,117.4,141.6,12,245
2026-08-17T22:26:40,142.8,3.5,117.4,141.7,12,245
2026-08-17T22:26:42,144.8,2.91,117.5,141.7,12,245
2026-08-17T22:26:44,146.8,2.43,117.7,142,12,245
2026-08-17T22:26:46,148.8,2.43,118.1,142.3,12,245
2026-08-17T22:26:48,150.9,2.72,117.5,141.5,12,245
2026-08-17T22:26:50,152.9,2.33,117.6,141.6,12,245
2026-08-17T22:26:52,154.9,1.75,117.8,141.8,12,245
2026-08-17T22:26:54,156.9,2.43,117.9,141.7,12,245
2026-08-17T22:26:56,158.9,2.43,118.1,141.9,12,245
2026-08-17T22:26:58,160.9,2.81,118,141.6,12,245
2026-08-17T22:27:00,162.9,2.42,118.2,142.6,12,245
2026-08-17T22:27:02,164.9,1.94,118.3,142.8,12,245
2026-08-17T22:27:04,166.9,2.92,118.4,142,12,245
2026-08-17T22:27:06,169,1.75,118.6,142.5,12,245
2026-08-17T22:27:08,171,2.42,119.9,206.8,12,245
2026-08-17T22:27:10,173,2.53,120,207,12,245
2026-08-17T22:27:12,175,3,120.1,207.1,12,245
2026-08-17T22:27:14,177,3.11,120.1,207.1,12,245
2026-08-17T22:27:16,179,3.01,120.1,207.1,12,245
2026-08-17T22:27:18,181,1.94,121.3,207.2,12,245
2026-08-17T22:27:20,183,2.22,125.8,207.2,12,245
2026-08-17T22:27:22,185.1,3.21,131,208,12,245
2026-08-17T22:27:24,187.1,2.53,135.5,208,12,245
2026-08-17T22:27:26,189.1,2.33,140.9,209,12,245
2026-08-17T22:27:28,191.1,3.2,145.5,209.4,12,245
2026-08-17T22:27:30,193.1,2.33,146.3,208.6,12,245
2026-08-17T22:27:32,195.1,3.2,146,207.5,12,245
2026-08-17T22:27:34,197.1,3.21,146.1,207.6,12,245
2026-08-17T22:27:36,199.1,2.14,146.1,207.6,12,245
2026-08-17T22:27:38,201.1,1.85,146.8,207.6,12,245
2026-08-17T22:27:40,203.2,2.7,151.2,207.7,12,245
2026-08-17T22:27:42,205.2,3.49,154.3,207.8,12,245
2026-08-17T22:27:44,207.2,2.04,158.8,207.8,12,245
2026-08-17T22:27:46,209.2,2.72,163.7,208.4,12,245
2026-08-17T22:27:48,211.2,2.9,168.2,208.7,12,245
2026-08-17T22:27:50,213.2,2.62,170,208.2,12,245
2026-08-17T22:27:52,215.2,2.43,170,208.2,12,245
2026-08-17T22:27:54,217.2,2.62,170,208.3,12,245
2026-08-17T22:27:56,219.3,2.42,170.1,208.4,12,245
2026-08-17T22:27:58,221.3,3.3,170.7,209.1,12,245
2026-08-17T22:28:00,223.3,2.62,170.5,208.8,12,245
2026-08-17T22:28:02,225.3,3.01,171.2,209.5,12,245
2026-08-17T22:28:04,227.3,2.71,171.2,209.5,12,245
2026-08-17T22:28:06,229.3,3.1,171.2,209.5,12,245
2026-08-17T22:28:08,231.3,2.71,171.3,209.5,12,245
2026-08-17T22:28:10,233.4,2.62,171.5,208.8,12,245
2026-08-17T22:28:12,235.4,2.71,170.6,208.2,12,245
2026-08-17T22:28:14,237.4,3.1,170.6,208.2,12,245
2026-08-17T22:28:16,239.4,2.53,170.7,208.2,12,245
2026-08-17T22:28:18,241.4,2.33,170.8,208.3,12,245
2026-08-17T22:28:20,243.4,2.91,170.9,208.4,12,245
2026-08-17T22:28:22,245.4,2.23,171.1,208.6,12,245
2026-08-17T22:28:24,247.4,1.17,171.1,208.7,12,245
2026-08-17T22:28:27,249.4,2.04,171.2,208.8,12,245
2026-08-17T22:28:29,251.5,2.92,171.4,209,12,245
2026-08-17T22:28:31,253.5,2.61,171.6,209.3,12,245
2026-08-17T22:28:33,255.5,1.35,171.8,209.7,12,245
2026-08-17T22:28:35,257.5,2.22,171.8,209.7,12,245
2026-08-17T22:28:37,259.5,2.53,169.5,207.4,12,245
2026-08-17T22:28:39,261.5,2.23,170.2,208.4,15,245
2026-08-17T22:28:41,263.5,2.82,170.2,208.4,15,245
2026-08-17T22:28:43,265.6,1.85,170.6,208.6,15,245
2026-08-17T22:28:45,267.6,1.65,170.7,208.7,15,245
2026-08-17T22:28:47,269.6,2.63,170.8,208.8,15,245
2026-08-17T22:28:49,271.6,1.65,170.8,208.8,15,245
2026-08-17T22:28:51,273.6,1.65,171,208.9,15,245
2026-08-17T22:28:53,275.6,2.33,171,208.9,15,245
2026-08-17T22:28:55,277.6,1.65,171.4,209.8,15,245
2026-08-17T22:28:57,279.6,1.94,171.5,210.7,15,245
2026-08-17T22:28:59,281.6,1.85,170.4,209.1,15,245
2026-08-17T22:29:01,283.6,1.07,170.4,209.2,15,246
2026-08-17T22:29:03,285.7,2.04,170.4,209.2,15,245
2026-08-17T22:29:05,287.7,1.46,170.5,209.3,15,245
2026-08-17T22:29:07,289.7,1.26,171.2,209.4,15,245
2026-08-17T22:29:09,291.7,1.75,171.5,209.7,15,245
2026-08-17T22:29:11,293.7,1.66,171.5,209.7,15,245
2026-08-17T22:29:13,295.7,1.84,171.4,209.7,15,245
2026-08-17T22:29:15,297.7,1.94,171.9,210.3,15,245
2026-08-17T22:29:17,299.7,1.85,171.4,209.5,15,245
2026-08-17T22:29:19,301.8,1.93,171.5,209.5,15,245
2026-08-17T22:29:21,303.8,3.11,171.8,209.9,15,245
2026-08-17T22:29:23,305.8,2.92,170.4,208.6,15,245
2026-08-17T22:29:25,307.8,2.62,170.5,208.6,15,245
2026-08-17T22:29:27,309.8,1.74,170.3,208.1,15,245
2026-08-17T22:29:29,311.8,2.04,170.4,208.2,15,245
2026-08-17T22:29:31,313.8,1.66,170.5,208.4,15,245
2026-08-17T22:29:33,315.8,2.13,170.9,208.8,15,245
2026-08-17T22:29:35,317.8,2.42,171,208.8,15,245
2026-08-17T22:29:37,319.9,1.73,171,208.9,15,245
2026-08-17T22:29:39,321.9,2.14,171.7,209.7,15,245
2026-08-17T22:29:41,323.9,2.43,171.7,209.7,15,245
2026-08-17T22:29:43,325.9,2.14,171.7,209.7,15,246
2026-08-17T22:29:45,327.9,1.75,170.4,208.7,15,245
2026-08-17T22:29:47,329.9,2.72,170.5,208.7,15,245
2026-08-17T22:29:49,331.9,2.91,170.6,208.8,15,245
2026-08-17T22:29:51,334,2.23,170.9,209.2,15,244
2026-08-17T22:29:53,336,2.04,171,209.2,15,245
2026-08-17T22:29:55,338,3.48,171,209.2,15,245
2026-08-17T22:29:57,340,3.3,171.1,209.3,15,245
2026-08-17T22:29:59,342,2.62,171.4,209.6,15,245
2026-08-17T22:30:01,344,2.32,171.4,209.6,15,245
2026-08-17T22:30:03,346.1,2.72,171.8,210,15,245
2026-08-17T22:30:05,348.1,3.01,171.9,210.1,15,245
2026-08-17T22:30:07,350.1,2.92,172.2,210.3,15,245
2026-08-17T22:30:09,352.1,2.52,171.1,209.1,15,245
2026-08-17T22:30:11,354.1,2.34,171.1,209.1,15,245
2026-08-17T22:30:13,356.1,2.23,171.6,209.6,15,245
2026-08-17T22:30:15,358.1,2.53,171.6,209.6,15,245
2026-08-17T22:30:17,360.1,2.21,171.6,209.6,15,246
2026-08-17T22:30:19,362.2,1.65,171.8,209.7,15,245
2026-08-17T22:30:21,364.2,1.94,171.8,209.7,12,245
2026-08-17T22:30:23,366.2,2.81,60.7,71.6,12,245
2026-08-17T22:30:25,368.2,2.03,61.3,71.4,12,245
2026-08-17T22:30:27,370.2,2.24,61.7,72.3,12,245
2026-08-17T22:30:29,372.2,1.45,61.9,73,12,245
2026-08-17T22:30:31,374.2,1.27,61.5,71.7,12,245
2026-08-17T22:30:33,376.2,2.14,61.8,71.8,12,245
2026-08-17T22:30:35,378.2,2.82,61.5,71.4,12,245
2026-08-17T22:30:37,380.3,2.34,61.8,71.9,12,245
2026-08-17T22:30:39,382.3,3.38,61.9,71.7,12,245
2026-08-17T22:30:41,384.3,1.16,62,71.8,12,245
2026-08-17T22:30:43,386.3,3.01,62.4,72.2,12,245
2026-08-17T22:30:45,388.3,2.52,61.6,75.4,12,245
2026-08-17T22:30:47,390.3,2.62,63.9,75.8,12,245
2026-08-17T22:30:49,392.3,2.61,64.8,76.1,12,245
2026-08-17T22:30:51,394.4,2.34,64.8,76.1,12,245
2026-08-17T22:30:53,396.4,3.1,65.2,76.7,12,245
2026-08-17T22:30:55,398.4,2.24,65.2,76.7,12,245
2026-08-17T22:30:57,400.4,1.17,65.2,76.9,12,245
2026-08-17T22:30:59,402.4,1.84,65.7,77.5,12,245
2026-08-17T22:31:01,404.4,1.94,65.7,77.5,12,245
2026-08-17T22:31:03,406.4,3.3,66,77.6,12,245
2026-08-17T22:31:06,408.4,1.75,66,77.6,12,245
2026-08-17T22:31:08,410.4,2.43,66.2,77.6,12,245
2026-08-17T22:31:10,412.5,2.72,66.2,77.6,12,245
2026-08-17T22:31:12,414.5,1.85,65.2,76.2,12,245
2026-08-17T22:31:14,416.5,2.71,65.2,76.3,12,246
2026-08-17T22:31:16,418.5,2.33,65.4,76.4,12,245
2026-08-17T22:31:18,420.5,1.95,65.3,76.1,12,245
2026-08-17T22:31:20,422.5,3.12,65.3,76.2,12,245
2026-08-17T22:31:22,424.5,2.73,65.3,76.2,12,245
2026-08-17T22:31:24,426.5,4.38,65.9,76.7,12,245
2026-08-17T22:31:26,428.5,2.24,66.1,76.7,12,245
2026-08-17T22:31:28,430.5,1.94,66.4,77.3,12,245
