timestamp,elapsed_s,cpu_percent,working_set_mb,private_mb,threads,handles
2026-08-17T22:54:37,2,0,52.8,62.7,13,211
2026-08-17T22:54:39,4.1,0.1,53,63,13,213
2026-08-17T22:54:41,6.1,0.19,53,63,13,214
2026-08-17T22:54:43,8.1,0.29,53.1,63,13,215
2026-08-17T22:54:45,10.1,0.49,53.2,63,13,216
2026-08-17T22:54:47,12.1,0,53.2,63,13,217
2026-08-17T22:54:49,14.1,0.68,53.3,63.2,13,218
2026-08-17T22:54:51,16.2,0.88,53.7,63.5,13,219
2026-08-17T22:54:53,18.2,0.58,53.9,63.8,13,220
2026-08-17T22:54:55,20.2,0.49,54.2,63.8,13,221
2026-08-17T22:54:57,22.2,1.07,54.4,64.3,13,222
2026-08-17T22:54:59,24.2,0.58,55.1,65.3,13,223
2026-08-17T22:55:01,26.2,1.36,56.4,68.5,13,224
2026-08-17T22:55:03,28.2,0.88,57.1,68.2,13,225
2026-08-17T22:55:05,30.2,1.75,57.2,67.9,13,226
2026-08-17T22:55:07,32.2,1.55,58.1,68.5,13,227
2026-08-17T22:55:09,34.2,1.46,59.4,73.2,13,229
2026-08-17T22:55:11,36.3,1.26,61,73.2,13,229
2026-08-17T22:55:13,38.3,1.56,62.2,73.4,13,230
2026-08-17T22:55:15,40.3,1.36,62.3,73.4,13,231
2026-08-17T22:55:17,42.3,1.26,62.4,74.2,13,232
2026-08-17T22:55:19,44.3,1.85,62.6,73.9,13,233
2026-08-17T22:55:21,46.3,2.03,62.5,81.6,13,235
2026-08-17T22:55:23,48.3,1.75,64.2,81.9,13,235
2026-08-17T22:55:25,50.3,1.45,66.5,82.7,13,236
2026-08-17T22:55:27,52.4,1.65,69.3,82.4,13,237
2026-08-17T22:55:29,54.4,1.65,70.3,83.4,13,238
2026-08-17T22:55:31,56.4,2.04,70.9,84.8,13,238
2026-08-17T22:55:33,58.4,2.72,70.5,83.4,13,238
2026-08-17T22:55:35,60.4,1.75,70.9,83.8,13,238
2026-08-17T22:55:37,62.4,1.65,71,84.2,13,238
2026-08-17T22:55:39,64.4,1.56,71,84.2,13,238
2026-08-17T22:55:42,66.4,2.04,70.4,83.4,13,238
2026-08-17T22:55:44,68.4,2.91,71.4,100.2,13,238
2026-08-17T22:55:46,70.4,1.84,71.4,100.2,13,238
2026-08-17T22:55:48,72.5,1.65,73.8,100.2,13,238
2026-08-17T22:55:50,74.5,1.94,77.8,100.9,13,239
2026-08-17T22:55:52,76.5,1.26,78.4,101.2,13,238
2026-08-17T22:55:54,78.5,1.93,80.4,100.9,13,238
2026-08-17T22:55:56,80.5,2.24,83.8,100.8,13,238
2026-08-17T22:55:58,82.5,2.92,84.1,100.5,13,238
2026-08-17T22:56:00,84.5,1.94,84.3,101.1,12,238
2026-08-17T22:56:02,86.5,1.65,84.5,101.1,12,238
2026-08-17T22:56:04,88.5,1.65,84.8,101.1,12,238
2026-08-17T22:56:06,90.6,2.33,85,101.5,12,238
2026-08-17T22:56:08,92.6,2.13,84.8,101.3,12,238
2026-08-17T22:56:10,94.6,1.46,86.3,103.2,12,238
2026-08-17T22:56:12,96.6,2.23,86.3,103.2,12,238
2026-08-17T22:56:14,98.6,2.23,86.4,103.9,12,238
2026-08-17T22:56:16,100.6,1.17,87.9,105.1,12,238
2026-08-17T22:56:18,102.6,1.36,87.7,104.4,12,238
2026-08-17T22:56:20,104.6,1.75,88.1,104.6,12,238
2026-08-17T22:56:22,106.6,2.04,90.5,139.4,12,238
2026-08-17T22:56:24,108.7,1.07,90.5,139.6,12,238
2026-08-17T22:56:26,110.7,1.46,90.4,139.9,12,238
2026-08-17T22:56:28,112.7,1.82,91.4,140.1,12,238
2026-08-17T22:56:30,114.7,2.43,95.4,140.4,12,238
2026-08-17T22:56:32,116.7,0.97,99,140.4,12,238
2026-08-17T22:56:34,118.7,2.32,102.7,139.8,12,238
2026-08-17T22:56:36,120.7,1.94,103,139.1,12,238
2026-08-17T22:56:38,122.8,2.52,103.6,140.2,12,238
2026-08-17T22:56:40,124.8,2.03,104.5,140.3,12,238
2026-08-17T22:56:42,126.8,2.34,108.2,140.3,12,238
2026-08-17T22:56:44,128.8,1.75,111.9,140.4,12,238
2026-08-17T22:56:46,130.8,1.26,115.4,140.4,12,239
2026-08-17T22:56:48,132.8,2.42,116.2,140.3,12,238
2026-08-17T22:56:50,134.8,1.55,116.2,140.3,12,238
2026-08-17T22:56:52,136.8,1.75,116.4,140.4,12,238
2026-08-17T22:56:54,138.8,2.33,116.5,140.5,12,238
2026-08-17T22:56:56,140.9,1.84,116.6,140.5,12,238
2026-08-17T22:56:58,142.9,2.23,116.7,140.5,12,238
2026-08-17T22:57:00,144.9,2.04,116.3,140.1,12,238
2026-08-17T22:57:02,146.9,1.94,116.3,140.1,12,238
2026-08-17T22:57:04,148.9,2.03,116.7,140.5,12,238
2026-08-17T22:57:06,150.9,1.56,117,140.9,12,238
2026-08-17T22:57:08,152.9,1.46,116.5,140.1,12,238
2026-08-17T22:57:10,154.9,1.85,116.6,140.1,12,238
2026-08-17T22:57:12,156.9,3.69,118,142.1,12,238
2026-08-17T22:57:14,159,2.14,117.4,141.2,12,238
2026-08-17T22:57:16,161,2.33,118,142.6,12,238
2026-08-17T22:57:18,163,1.75,118,142.6,12,238
2026-08-17T22:57:20,165,2.04,118,142.6,12,238
2026-08-17T22:57:22,167,2.24,118.1,142.7,12,238
2026-08-17T22:57:24,169,1.94,118.7,143.2,12,238
2026-08-17T22:57:26,171,2.52,117.7,141.6,12,238
2026-08-17T22:57:28,173,1.65,117.8,141.6,12,238
2026-08-17T22:57:30,175,2.04,117.8,141.7,12,239
2026-08-17T22:57:32,177.1,1.94,117.9,141.7,12,238
2026-08-17T22:57:34,179.1,2.14,117.9,141.7,12,238
2026-08-17T22:57:36,181.1,2.42,118.1,141.9,12,238
2026-08-17T22:57:38,183.1,2.04,117.9,141.6,12,238
2026-08-17T22:57:40,185.1,1.07,118,141.7,12,238
2026-08-17T22:57:42,187.1,1.94,118,141.7,12,238
2026-08-17T22:57:44,189.1,2.53,118.3,142.8,12,238
2026-08-17T22:57:46,191.1,2.13,118.9,143.3,12,238
2026-08-17T22:57:48,193.1,2.62,118.3,142,12,238
2026-08-17T22:57:50,195.2,1.55,118.5,142.5,12,238
2026-08-17T22:57:52,197.2,2.23,119.7,206.6,12,238
2026-08-17T22:57:54,199.2,1.36,120,207.1,12,238
2026-08-17T22:57:56,201.2,2.43,120.4,207.4,12,238
2026-08-17T22:57:58,203.2,2.03,120.4,207.4,12,238
2026-08-17T22:58:00,205.2,1.65,120.4,207.4,12,238
2026-08-17T22:58:02,207.2,1.85,120.5,207.4,12,238
2026-08-17T22:58:04,209.2,1.17,120.5,207.4,12,238
2026-08-17T22:58:06,211.3,2.63,123.5,207.4,12,238
2026-08-17T22:58:08,213.3,1.74,127.1,207.5,12,238
2026-08-17T22:58:10,215.3,2.33,131,207.8,12,238
2026-08-17T22:58:12,217.3,2.52,134.9,208.3,12,238
2026-08-17T22:58:14,219.3,1.75,138.7,208.3,12,238
2026-08-17T22:58:16,221.3,3.21,143.1,209.4,12,238
2026-08-17T22:58:18,223.3,2.14,146.5,209.3,12,238
2026-08-17T22:58:20,225.3,2.62,146.5,208,12,238
2026-08-17T22:58:22,227.4,2.62,147.1,208.8,12,238
2026-08-17T22:58:24,229.4,2.14,147.3,208.9,12,239
2026-08-17T22:58:26,231.4,2.32,147.4,209,12,238
2026-08-17T22:58:28,233.4,2.34,147.4,209,12,238
2026-08-17T22:58:30,235.4,1.65,148,209,12,238
2026-08-17T22:58:32,237.4,2.14,151.7,209,12,238
2026-08-17T22:58:35,239.4,1.94,154.1,209,12,238
2026-08-17T22:58:37,241.4,1.16,157.4,209,12,238
2026-08-17T22:58:39,243.4,1.85,160.7,209,12,238
2026-08-17T22:58:41,245.5,1.94,165.1,209.9,12,238
2026-08-17T22:58:43,247.5,2.04,168.6,209.9,12,238
2026-08-17T22:58:45,249.5,1.75,172,209.9,12,238
2026-08-17T22:58:47,251.5,2.52,170.5,208.5,15,239
2026-08-17T22:58:49,253.5,1.55,170.7,208.7,15,238
2026-08-17T22:58:51,255.5,1.65,170.7,208.7,15,238
2026-08-17T22:58:53,257.5,2.33,170.9,208.9,15,238
2026-08-17T22:58:55,259.5,1.84,171.1,209.1,15,238
2026-08-17T22:58:57,261.6,2.03,171.6,209.7,15,238
2026-08-17T22:58:59,263.6,2.04,171.6,209.7,15,238
2026-08-17T22:59:01,265.6,2.62,171.7,209.8,15,238
2026-08-17T22:59:03,267.6,1.75,172,210,15,239
2026-08-17T22:59:05,269.6,2.43,172,210,15,238
2026-08-17T22:59:07,271.6,1.94,172,210,15,238
2026-08-17T22:59:09,273.6,2.53,172,210,15,238
2026-08-17T22:59:11,275.6,2.14,171.9,209.5,15,238
2026-08-17T22:59:13,277.6,2.14,172,209.6,15,238
2026-08-17T22:59:15,279.6,2.51,170.4,209.1,15,238
2026-08-17T22:59:17,281.7,3.1,170.5,209.1,15,238
2026-08-17T22:59:19,283.7,1.94,170.5,209.1,15,238
2026-08-17T22:59:21,285.7,2.62,170.6,209.2,15,238
2026-08-17T22:59:23,287.7,1.65,170.6,209.2,15,238
2026-08-17T22:59:25,289.7,2.13,170.6,209.2,15,238
2026-08-17T22:59:27,291.7,1.17,170.6,209.2,15,238
2026-08-17T22:59:29,293.7,2.34,170.7,209.3,15,238
2026-08-17T22:59:31,295.7,2.43,170.8,209.3,15,238
2026-08-17T22:59:33,297.7,2.14,170.8,209.3,15,238
2026-08-17T22:59:35,299.8,2.24,171,209.5,15,238
2026-08-17T22:59:37,301.8,2.53,171.1,209.6,15,238
2026-08-17T22:59:39,303.8,2.13,66.6,77.1,15,238
2026-08-17T22:59:41,305.8,2.04,67.1,77.2,15,238
2026-08-17T22:59:43,307.8,2.91,67.5,77.1,15,238
2026-08-17T22:59:45,309.8,2.03,67.7,77.4,15,238
2026-08-17T22:59:47,311.8,1.94,67.7,77.4,15,239
2026-08-17T22:59:49,313.8,2.23,67.1,76.6,15,238
2026-08-17T22:59:51,315.9,1.84,66.6,75.9,15,238
2026-08-17T22:59:53,317.9,2.82,67.3,78.4,15,238
2026-08-17T22:59:55,319.9,1.94,67.4,78.5,15,238
2026-08-17T22:59:57,321.9,2.04,67.2,77,15,238
2026-08-17T22:59:59,323.9,2.62,67.2,77.1,15,238
2026-08-17T23:00:01,325.9,2.53,67.5,77.6,15,238
2026-08-17T23:00:03,327.9,1.74,67.6,77.6,15,238
2026-08-17T23:00:05,329.9,2.72,67.4,78.1,15,238
2026-08-17T23:00:07,332,2.81,67.5,78.2,15,238
2026-08-17T23:00:09,334,2.14,67.6,82.3,15,238
2026-08-17T23:00:11,336,2.43,69,82.2,15,238
2026-08-17T23:00:13,338,2.33,70.5,82.2,15,238
2026-08-17T23:00:15,340,2.14,70.5,82.2,15,238
2026-08-17T23:00:17,342,1.94,71,82.7,15,238
2026-08-17T23:00:19,344,3.3,71,82.7,15,238
2026-08-17T23:00:21,346,2.43,71,82.7,15,238
2026-08-17T23:00:23,348.1,2.9,70.2,80.9,15,238
2026-08-17T23:00:25,350.1,0.97,70.9,81.6,15,238
2026-08-17T23:00:27,352.1,0.97,70.9,81.7,15,238
2026-08-17T23:00:29,354.1,2.33,71,81.7,12,238
