timestamp,elapsed_s,cpu_percent,working_set_mb,private_mb,threads,handles
2026-08-17T22:37:07,2,0,52.8,62.4,13,211
2026-08-17T22:37:09,4.1,0.09,52.9,62.4,13,214
2026-08-17T22:37:11,6.1,0.49,52.9,62.4,13,216
2026-08-17T22:37:13,8.2,0.29,53.1,62.4,13,218
2026-08-17T22:37:15,10.2,0.87,53.3,62.4,13,220
2026-08-17T22:37:17,12.2,1.17,53.6,63.2,13,222
2026-08-17T22:37:19,14.2,1.55,54.1,65.6,13,225
2026-08-17T22:37:21,16.2,1.46,55.4,66.1,13,227
2026-08-17T22:37:23,18.2,1.07,56.8,67.8,13,229
2026-08-17T22:37:25,20.2,1.85,57.6,68.6,13,231
2026-08-17T22:37:27,22.2,1.75,58.3,72.7,13,234
2026-08-17T22:37:29,24.2,1.56,60.2,73,13,236
2026-08-17T22:37:31,26.3,1.94,61.8,73,13,238
2026-08-17T22:37:33,28.3,2.33,62,73.2,13,240
2026-08-17T22:37:35,30.3,2.72,62.2,73.2,13,242
2026-08-17T22:37:37,32.3,1.84,62.7,82,13,244
2026-08-17T22:37:39,34.3,2.41,66.2,82.6,13,244
2026-08-17T22:37:41,36.3,2.53,70.6,83.9,13,244
2026-08-17T22:37:43,38.4,2.8,71.3,84.3,13,244
2026-08-17T22:37:46,40.4,2.7,70.3,83.1,13,244
2026-08-17T22:37:48,42.4,3.11,70.4,83.2,13,244
2026-08-17T22:37:50,44.4,1.26,70.7,83.5,13,244
2026-08-17T22:37:52,46.4,2.72,70.8,83.8,13,244
2026-08-17T22:37:54,48.4,1.95,71,83.8,13,244
2026-08-17T22:37:56,50.4,3.2,71.3,99.8,13,244
2026-08-17T22:37:58,52.4,1.84,72.9,99.9,13,244
2026-08-17T22:38:00,54.5,2.14,77.6,100.5,13,244
2026-08-17T22:38:02,56.5,2.04,78,100.6,13,244
2026-08-17T22:38:04,58.5,2.33,81.9,100.7,13,244
2026-08-17T22:38:06,60.5,2.91,84.2,100.3,13,244
2026-08-17T22:38:08,62.5,1.55,84.4,100.9,13,244
2026-08-17T22:38:10,64.5,1.84,84.7,101.7,13,244
